"NOME_CONGLOMERADO","CLASSE_","CNPJ","NOME_INSTITUIÇÃO_PARTICIPANTE","TIPO_PARTICIPAÇÃO_","DATA_INÍCIO","ESTADO","ano","mes","tipo"
"BNP PARIBAS                                                 ","Privado Nacional com Controle Estrangeiro                   ","3722919.000000","CETELEM BRASIL S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO                                                                                                                                             ","PARTICIPANTE                                                ","38353.000000","SP","2011","07","conglomerados"
"BONCRED                                                     ","Privado Nacional                                            ","3468098.000000","BONCRED FINANCEIRA S.A.-CREDITO,FINANCIAMENTO E INVESTIMENTO                                                                                                                                            ","LIDER/HOLDING                                               ","36342.000000","RS","2011","07","conglomerados"
"BONCRED                                                     ","Privado Nacional                                            ","1488392.000000","BONCRED LEASING S/A - ARRENDAMENTO MERCANTIL                                                                                                                                                            ","PARTICIPANTE                                                ","36342.000000","RS","2011","07","conglomerados"
"BONSUCESSO                                                  ","Privado Nacional                                            ","71027866.000000","BANCO BONSUCESSO S.A.                                                                                                                                                                                   ","LIDER                                                       ","34277.000000","MG","2011","07","conglomerados"
"BONSUCESSO                                                  ","Privado Nacional                                            ","71371686.000000","BONSUCESSO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA                                                                                                                                          ","PARTICIPANTE                                                ","34274.000000","MG","2011","07","conglomerados"
"BONSUCESSO                                                  ","Privado Nacional                                            ","19223411.000000","UNIÃO ADMINISTRADORA DE CONSÓRCIOS LTDA                                                                                                                                                                 ","PARTICIPANTE                                                ","39744.000000","MG","2011","07","conglomerados"
"BONSUCESSO                                                  ","Privado Nacional                                            ","2400344.000000","BBO-PARTICIPACOES S.A.                                                                                                                                                                                  ","HOLDING NÃO IF                                              ","35822.000000","MG","2011","07","conglomerados"
"BRADESCO                                                    ","Privado Nacional                                            ","60746948.000000","BANCO BRADESCO S.A.                                                                                                                                                                                     ","LIDER                                                       ","32295.000000","SP","2011","07","conglomerados"
"BRADESCO                                                    ","Privado Nacional                                            ","74014747.000000","ÁGORA CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.                                                                                                                                                   ","PARTICIPANTE                                                ","39708.000000","RJ","2011","07","conglomerados"
"BRADESCO                                                    ","Privado Nacional                                            ","74552142.000000","ALVORADA CARTÕES, CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.                                                                                                                                            ","PARTICIPANTE                                                ","37774.000000","SP","2011","07","conglomerados"
"BRADESCO                                                    ","Privado Nacional                                            ","33870163.000000","BANCO ALVORADA S.A.                                                                                                                                                                                     ","PARTICIPANTE                                                ","37774.000000","BA","2011","07","conglomerados"
"BRADESCO                                                    ","Privado Nacional                                            ","60419645.000000","BANCO BANKPAR S.A.                                                                                                                                                                                      ","PARTICIPANTE                                                ","38896.000000","SP","2011","07","conglomerados"
"BRADESCO                                                    ","Privado Nacional                                            ","33485541.000000","BANCO BOAVISTA INTERATLANTICO S.A.                                                                                                                                                                      ","PARTICIPANTE                                                ","36861.000000","SP","2011","07","conglomerados"
"BRADESCO                                                    ","Privado Nacional                                            ","6271464.000000","BANCO BRADESCO BBI S.A.                                                                                                                                                                                 ","PARTICIPANTE                                                ","38036.000000","SP","2011","07","conglomerados"
"BRADESCO                                                    ","Privado Nacional                                            ","59438325.000000","BANCO BRADESCO CARTÕES S.A.                                                                                                                                                                             ","PARTICIPANTE                                                ","38896.000000","SP","2011","07","conglomerados"
"BRADESCO                                                    ","Privado Nacional                                            ","7207996.000000","BANCO BRADESCO FINANCIAMENTOS S.A.                                                                                                                                                                      ","PARTICIPANTE                                                ","39353.000000","SP","2011","07","conglomerados"
"BRADESCO                                                    ","Privado Nacional                                            ","4184779.000000","BANCO IBI S.A. - BANCO MÚLTIPLO                                                                                                                                                                         ","PARTICIPANTE                                                ","40115.000000","SP","2011","07","conglomerados"
"BRADESCO                                                    ","Privado Nacional                                            ","27098060.000000","BANKPAR ARRENDAMENTO MERCANTIL S.A.                                                                                                                                                                     ","PARTICIPANTE                                                ","38896.000000","SP","2011","07","conglomerados"
"BRADESCO                                                    ","Privado Nacional                                            ","7299480.000000","BEC DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.                                                                                                                                                ","PARTICIPANTE                                                ","38721.000000","SP","2011","07","conglomerados"
"BRADESCO                                                    ","Privado Nacional                                            ","66670.000000","BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA                                                                                                                                               ","PARTICIPANTE                                                ","38036.000000","SP","2011","07","conglomerados"
"BRADESCO                                                    ","Privado Nacional                                            ","4163016.000000","BMC ASSET MANAGEMENT - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.                                                                                                                             ","PARTICIPANTE                                                ","39353.000000","SP","2011","07","conglomerados"
"BRADESCO                                                    ","Privado Nacional                                            ","52568821.000000","BRADESCO ADMINISTRADORA DE CONSÓRCIOS LTDA.                                                                                                                                                             ","PARTICIPANTE                                                ","35815.000000","SP","2011","07","conglomerados"
"BRADESCO                                                    ","Privado Nacional                                            ","47509120.000000","BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL                                                                                                                                                          ","PARTICIPANTE                                                ","37408.000000","SP","2011","07","conglomerados"
"BRADESCO                                                    ","Privado Nacional                                            ","61855045.000000","BRADESCO S.A. CORRETORA DE TITULOS E VALORES MOBILIARIOS                                                                                                                                                ","PARTICIPANTE                                                ","32295.000000","SP","2011","07","conglomerados"
